"feed_id","first_name","last_name","team","pos","pos1","pos2","games","total","average","price","full_name","player_name","number","career_games","dob","age","priced_avg","def","mid","ruc","fwd","scr","pos_scr","scr_pos","weight","scr_wgt"
291800,"Tom","Stewart","GEE","DEF","DEF",,20,2152,107.6,585700,"Tom Stewart","T.Stewart",44,108,1993-03-15,29,107,TRUE,FALSE,FALSE,FALSE,1.251,2.067,"DEF",0.261,1.463976
294318,"Ollie","Wines","PTA","MID","MID",,22,2476,112.55,612600,"Ollie Wines","O.Wines",16,185,1994-10-07,28,111.9,FALSE,TRUE,FALSE,FALSE,1.663,1.134,"MID",0.391,1.456161
993905,"Callum","Mills","SYD","MID","MID",,18,2024,112.44,612100,"Callum Mills","C.Mills",14,110,1997-04-02,25,111.8,FALSE,TRUE,FALSE,FALSE,1.655,1.126,"MID",0.391,1.448161
271072,"Daniel","Rich","BRL","DEF","DEF",,22,2355,107.05,582700,"Daniel Rich","D.Rich",10,249,1990-06-07,32,106.4,TRUE,FALSE,FALSE,FALSE,1.201,1.987,"DEF",0.261,1.406146
298210,"Christian","Petracca","MEL","MID","MID",,22,2450,111.36,606200,"Christian Petracca","C.Petracca",5,128,1996-01-04,26,110.7,FALSE,TRUE,FALSE,FALSE,1.562,1.04,"MID",0.391,1.357898
993834,"Josh","Dunkley","WBD","MID FWD","MID","FWD",11,1128,102.55,558200,"Josh Dunkley","J.Dunkley",5,94,1997-01-09,25,102,FALSE,FALSE,FALSE,TRUE,0.831,2.7,"FWD",0.261,1.318809
296735,"Aaron","Hall","NTH","DEF","DEF",,20,2105,105.25,572900,"Aaron Hall","A.Hall",43,144,1990-11-09,32,104.7,TRUE,FALSE,FALSE,FALSE,1.058,1.76,"DEF",0.261,1.241222
261224,"Dayne","Zorko","BRL","MID","MID",,21,2297,109.38,595400,"Dayne Zorko","D.Zorko",15,210,1989-02-09,33,108.8,FALSE,TRUE,FALSE,FALSE,1.403,0.892,"MID",0.391,1.203199
293871,"Jack","Crisp","COL","DEF MID","DEF","MID",22,2308,104.91,571000,"Jack Crisp","J.Crisp",25,175,1993-10-02,29,104.3,TRUE,FALSE,FALSE,FALSE,1.024,1.707,"DEF",0.261,1.202263
280921,"Ben","Cunnington","NTH","MID","MID",,15,1631,108.73,591900,"Ben Cunnington","B.Cunnington",10,227,1991-06-30,31,108.1,FALSE,TRUE,FALSE,FALSE,1.344,0.837,"MID",0.391,1.145763
290778,"Luke","Parker","SYD","MID","MID",,22,2391,108.68,591600,"Luke Parker","L.Parker",26,233,1992-10-25,30,108.1,FALSE,TRUE,FALSE,FALSE,1.344,0.837,"MID",0.391,1.145763
1002232,"Andrew","Brayshaw","FRE","MID","MID",,20,2147,107.35,584300,"Andrew Brayshaw","A.Brayshaw",8,76,1999-11-08,23,106.7,FALSE,TRUE,FALSE,FALSE,1.226,0.727,"MID",0.391,1.030891
296347,"Josh","Kelly","GWS","MID","MID",,21,2246,106.95,582200,"Josh Kelly","J.Kelly",22,156,1995-02-12,27,106.4,FALSE,TRUE,FALSE,FALSE,1.201,0.704,"MID",0.391,1.006673
281065,"Mitch","Duncan","GEE","MID FWD","MID","FWD",10,992,99.2,540000,"Mitch Duncan","M.Duncan",22,236,1991-06-10,31,98.6,FALSE,FALSE,FALSE,TRUE,0.545,2.229,"FWD",0.261,0.984524
250365,"Travis","Boak","PTA","MID","MID",,21,2232,106.29,578500,"Travis Boak","T.Boak",10,309,1988-08-01,34,105.7,FALSE,TRUE,FALSE,FALSE,1.142,0.649,"MID",0.391,0.949237
294266,"Tom","Hickey","SYD","RUC","RUC",,20,2065,103.25,562000,"Tom Hickey","T.Hickey",31,125,1991-03-06,31,102.7,FALSE,FALSE,TRUE,FALSE,0.89,0.324,"RUC",0.087,0.840758
992242,"Jordan","Dawson","ADE","DEF","DEF",,22,2224,101.09,550300,"Jordan Dawson","J.Dawson",34,64,1997-04-09,25,100.5,TRUE,FALSE,FALSE,FALSE,0.705,1.2,"DEF",0.261,0.834195
998172,"Tim","Taranto","GWS","MID FWD","MID","FWD",22,2141,97.32,529700,"Tim Taranto","T.Taranto",14,100,1998-01-28,24,96.8,FALSE,FALSE,FALSE,TRUE,0.394,1.98,"FWD",0.261,0.807946
270917,"Patrick","Dangerfield","GEE","MID","MID",,13,1356,104.31,567800,"Patrick Dangerfield","P.Dangerfield",35,287,1990-04-05,32,103.7,FALSE,TRUE,FALSE,FALSE,0.974,0.493,"MID",0.391,0.785929
290799,"Tom","Liberatore","WBD","MID","MID",,21,2167,103.19,561700,"Tom Liberatore","T.Liberatore",21,172,1992-05-16,30,102.6,FALSE,TRUE,FALSE,FALSE,0.881,0.407,"MID",0.391,0.695666
993946,"Ben","Keays","ADE","MID","MID",,22,2265,102.95,560400,"Ben Keays","B.Keays",2,68,1997-02-23,25,102.4,FALSE,TRUE,FALSE,FALSE,0.865,0.391,"MID",0.391,0.679666
290629,"Dyson","Heppell","ESS","DEF","DEF",,18,1789,99.39,541000,"Dyson Heppell","D.Heppell",21,193,1992-05-14,30,98.8,TRUE,FALSE,FALSE,FALSE,0.562,0.973,"DEF",0.261,0.669271
998659,"Luke","Ryan","FRE","DEF","DEF",,19,1886,99.26,540300,"Luke Ryan","L.Ryan",13,85,1996-02-06,26,98.7,TRUE,FALSE,FALSE,FALSE,0.554,0.96,"DEF",0.261,0.659966
271129,"Todd","Goldstein","NTH","RUC","RUC",,22,2218,100.82,548800,"Todd Goldstein","T.Goldstein",22,273,1988-07-01,34,100.3,FALSE,FALSE,TRUE,FALSE,0.688,0.116,"RUC",0.087,0.638236
1001026,"Jordan","Ridley","ESS","DEF","DEF",,21,2072,98.67,537100,"Jordan Ridley","J.Ridley",14,48,1998-10-20,24,98.1,TRUE,FALSE,FALSE,FALSE,0.503,0.88,"DEF",0.261,0.601397
992049,"Jayden","Short","RIC","DEF","DEF",,22,2163,98.32,535200,"Jayden Short","J.Short",15,116,1996-01-24,26,97.8,TRUE,FALSE,FALSE,FALSE,0.478,0.84,"DEF",0.261,0.572482
993799,"Brayden","Fiorini","GCS","MID","MID",,9,912,101.33,551600,"Brayden Fiorini","B.Fiorini",8,61,1997-08-22,25,100.8,FALSE,TRUE,FALSE,FALSE,0.73,0.266,"MID",0.391,0.548576
295518,"Sam","Docherty","CAR","DEF","DEF",,14,1371,97.93,533000,"Sam Docherty","S.Docherty",15,122,1993-10-17,29,97.4,TRUE,FALSE,FALSE,FALSE,0.444,0.787,"DEF",0.261,0.533523
250321,"Joel","Selwood","GEE","MID","MID",,21,2118,100.86,549000,"Joel Selwood","J.Selwood",14,335,1988-05-26,34,100.3,FALSE,TRUE,FALSE,FALSE,0.688,0.227,"MID",0.391,0.507749
291570,"Nat","Fyfe","FRE","MID","MID",,15,1506,100.4,546500,"Nat Fyfe","N.Fyfe",7,201,1991-09-18,31,99.8,FALSE,TRUE,FALSE,FALSE,0.646,0.188,"MID",0.391,0.466922
261510,"Tom","Hawkins","GEE","FWD","FWD",,22,2065,93.86,510900,"Tom Hawkins","T.Hawkins",26,304,1988-07-21,34,93.3,FALSE,FALSE,FALSE,TRUE,0.1,1.495,"FWD",0.261,0.464095
992468,"Rowan","Marshall","STK","RUC","RUC",,13,1282,98.62,536800,"Rowan Marshall","R.Marshall",19,65,1995-11-24,27,98.1,FALSE,FALSE,TRUE,FALSE,0.503,-0.075,"RUC",0.087,0.452714
1000978,"Hugh","McCluggage","BRL","MID","MID",,22,2199,99.95,544100,"Hugh McCluggage","H.McCluggage",6,109,1998-03-03,24,99.4,FALSE,TRUE,FALSE,FALSE,0.613,0.156,"MID",0.391,0.434313
293535,"Lachie","Neale","BRL","MID","MID",,15,1497,99.8,543200,"Lachie Neale","L.Neale",9,197,1993-05-24,29,99.2,FALSE,TRUE,FALSE,FALSE,0.596,0.141,"MID",0.391,0.418095
240052,"David","Mundy","FRE","MID","MID",,22,2192,99.64,542300,"David Mundy","D.Mundy",16,353,1985-07-20,37,99.1,FALSE,TRUE,FALSE,FALSE,0.587,0.133,"MID",0.391,0.409486
293884,"Jake","Stringer","ESS","MID FWD","MID","FWD",18,1676,93.11,506800,"Jake Stringer","J.Stringer",25,158,1994-04-25,28,92.6,FALSE,FALSE,FALSE,TRUE,0.041,1.398,"FWD",0.261,0.395177
290847,"Dustin","Martin","RIC","MID FWD","MID","FWD",16,1480,92.5,503500,"Dustin Martin","D.Martin",4,262,1991-06-26,31,92,FALSE,FALSE,FALSE,TRUE,-0.01,1.315,"FWD",0.261,0.335825
291962,"Chad","Wingard","HAW","FWD MID","FWD","MID",16,1474,92.13,501500,"Chad Wingard","C.Wingard",20,194,1993-07-29,29,91.6,FALSE,FALSE,FALSE,TRUE,-0.043,1.259,"FWD",0.261,0.296822
996708,"Bailey","Dale","WBD","DEF","DEF",,22,2095,95.23,518300,"Bailey Dale","B.Dale",31,87,1996-07-22,26,94.7,TRUE,FALSE,FALSE,FALSE,0.217,0.427,"DEF",0.261,0.27181
996059,"Harris","Andrews","BRL","DEF","DEF",,21,1998,95.14,517900,"Harris Andrews","H.Andrews",31,139,1996-12-11,26,94.6,TRUE,FALSE,FALSE,FALSE,0.209,0.413,"DEF",0.261,0.262244
993998,"Jy","Simpkin","NTH","MID","MID",,22,2138,97.18,529000,"Jy Simpkin","J.Simpkin",12,95,1998-03-05,24,96.6,FALSE,TRUE,FALSE,FALSE,0.377,-0.063,"MID",0.391,0.20496
296359,"Christian","Salem","MEL","DEF","DEF",,21,1985,94.52,514500,"Christian Salem","C.Salem",3,131,1995-07-15,27,94,TRUE,FALSE,FALSE,FALSE,0.159,0.333,"DEF",0.261,0.204414
297523,"Reilly","O'Brien","ADE","RUC","RUC",,20,1913,95.65,520600,"Reilly O'Brien","R.O'Brien",43,57,1995-08-20,27,95.1,FALSE,FALSE,TRUE,FALSE,0.251,-0.335,"RUC",0.087,0.200018
294613,"Jaeger","O'Meara","HAW","MID","MID",,18,1747,97.06,528300,"Jaeger O'Meara","J.O'Meara",10,122,1994-02-23,28,96.5,FALSE,TRUE,FALSE,FALSE,0.369,-0.071,"MID",0.391,0.19696
270963,"Rory","Sloane","ADE","MID","MID",,18,1746,97,528000,"Rory Sloane","R.Sloane",9,229,1990-03-17,32,96.5,FALSE,TRUE,FALSE,FALSE,0.369,-0.071,"MID",0.391,0.19696
993903,"Jacob","Hopper","GWS","MID","MID",,21,2036,96.95,527700,"Jacob Hopper","J.Hopper",2,108,1997-02-06,25,96.4,FALSE,TRUE,FALSE,FALSE,0.36,-0.078,"MID",0.391,0.188742
295344,"Toby","Greene","GWS","FWD","FWD",,17,1546,90.94,495000,"Toby Greene","T.Greene",4,177,1993-09-25,29,90.4,FALSE,FALSE,FALSE,TRUE,-0.144,1.093,"FWD",0.261,0.178857
993832,"Jacob","Weitering","CAR","DEF","DEF",,22,2070,94.09,512200,"Jacob Weitering","J.Weitering",23,115,1997-11-23,25,93.6,TRUE,FALSE,FALSE,FALSE,0.125,0.28,"DEF",0.261,0.165455
295136,"Caleb","Daniel","WBD","DEF","DEF",,21,1971,93.86,510900,"Caleb Daniel","C.Daniel",35,133,1996-07-07,26,93.3,TRUE,FALSE,FALSE,FALSE,0.1,0.24,"DEF",0.261,0.13654
294733,"Paul","Seedsman","ADE","MID","MID",,22,2108,95.82,521600,"Paul Seedsman","P.Seedsman",11,132,1992-01-22,30,95.3,FALSE,TRUE,FALSE,FALSE,0.268,-0.164,"MID",0.391,0.099088
290746,"Scott","Lycett","PTA","RUC","RUC",,18,1695,94.17,512600,"Scott Lycett","S.Lycett",29,131,1992-09-26,30,93.6,FALSE,FALSE,TRUE,FALSE,0.125,-0.465,"RUC",0.087,0.07367
297452,"Nick","Hind","ESS","DEF","DEF",,22,2046,93,506200,"Nick Hind","N.Hind",19,43,1994-08-19,28,92.5,TRUE,FALSE,FALSE,FALSE,0.033,0.133,"DEF",0.261,0.0591
1001396,"Isaac","Cumming","GWS","DEF","DEF",,22,2044,92.91,505700,"Isaac Cumming","I.Cumming",13,34,1998-08-11,24,92.4,TRUE,FALSE,FALSE,FALSE,0.024,0.12,"DEF",0.261,0.049056
1005521,"Oscar","McInerney","BRL","RUC","RUC",,21,1966,93.62,509600,"Oscar McInerney","O.McInerney",46,82,1994-07-10,28,93.1,FALSE,FALSE,TRUE,FALSE,0.083,-0.508,"RUC",0.087,0.031583
291776,"Taylor","Adams","COL","MID","MID",,14,1329,94.93,516700,"Taylor Adams","T.Adams",13,165,1993-09-20,29,94.4,FALSE,TRUE,FALSE,FALSE,0.192,-0.235,"MID",0.391,0.025043
298174,"Toby","Nankervis","RIC","RUC","RUC",,16,1497,93.56,509300,"Toby Nankervis","T.Nankervis",25,100,1994-08-12,28,93,FALSE,FALSE,TRUE,FALSE,0.075,-0.517,"RUC",0.087,0.023496
280711,"Charlie","Dixon","PTA","FWD","FWD",,22,1960,89.09,484900,"Charlie Dixon","C.Dixon",22,180,1990-09-23,32,88.6,FALSE,FALSE,FALSE,TRUE,-0.295,0.844,"FWD",0.261,0.00227900000000003
294305,"Lachie","Whitfield","GWS","DEF MID","DEF","MID",15,1385,92.33,502600,"Lachie Whitfield","L.Whitfield",6,168,1994-07-18,28,91.8,TRUE,FALSE,FALSE,FALSE,-0.026,0.04,"DEF",0.261,-0.008774
992010,"Brayden","Maynard","COL","DEF","DEF",,22,2031,92.32,502500,"Brayden Maynard","B.Maynard",37,138,1996-09-20,26,91.8,TRUE,FALSE,FALSE,FALSE,-0.026,0.04,"DEF",0.261,-0.008774
261323,"Ben","McEvoy","HAW","RUC FWD","RUC","FWD",22,1955,88.86,483700,"Ben McEvoy","B.McEvoy",7,244,1989-07-11,33,88.4,FALSE,FALSE,TRUE,TRUE,-0.312,0.816,"FWD",0.261,-0.017592
291790,"Adam","Treloar","WBD","MID FWD","MID","FWD",13,1154,88.77,483200,"Adam Treloar","A.Treloar",1,190,1993-03-09,29,88.3,FALSE,FALSE,FALSE,TRUE,-0.321,0.802,"FWD",0.261,-0.027897
1004592,"Tim","English","WBD","RUC FWD","RUC","FWD",18,1596,88.67,482600,"Tim English","T.English",44,71,1997-08-10,25,88.2,FALSE,FALSE,TRUE,TRUE,-0.329,0.788,"FWD",0.261,-0.037463
998205,"Harry","Perryman","GWS","DEF","DEF",,16,1463,91.44,497700,"Harry Perryman","H.Perryman",36,72,1998-12-19,24,90.9,TRUE,FALSE,FALSE,FALSE,-0.102,-0.08,"DEF",0.261,-0.096258
297354,"Karl","Amon","PTA","MID","MID",,22,2055,93.41,508400,"Karl Amon","K.Amon",15,105,1995-08-19,27,92.9,FALSE,TRUE,FALSE,FALSE,0.066,-0.352,"MID",0.391,-0.097438
281091,"Hugh","Greenwood","NTH","MID","MID",,15,1398,93.2,507300,"Hugh Greenwood","H.Greenwood",18,82,1992-03-06,30,92.7,FALSE,TRUE,FALSE,FALSE,0.049,-0.368,"MID",0.391,-0.114047
993794,"Blake","Hardwick","HAW","DEF","DEF",,20,1824,91.2,496400,"Blake Hardwick","B.Hardwick",15,102,1997-02-05,25,90.7,TRUE,FALSE,FALSE,FALSE,-0.119,-0.107,"DEF",0.261,-0.115868
260382,"Josh P.","Kennedy","SYD","MID","MID",,21,1955,93.1,506700,"Josh P. Kennedy","J.P.Kennedy",12,277,1988-06-20,34,92.6,FALSE,TRUE,FALSE,FALSE,0.041,-0.376,"MID",0.391,-0.122047
280109,"Callan","Ward","GWS","MID","MID",,22,2046,93,506200,"Callan Ward","C.Ward",8,247,1990-04-10,32,92.5,FALSE,TRUE,FALSE,FALSE,0.033,-0.383,"MID",0.391,-0.129656
298281,"Jake","Lever","MEL","DEF","DEF",,22,2000,90.91,494800,"Jake Lever","J.Lever",8,118,1996-03-05,26,90.4,TRUE,FALSE,FALSE,FALSE,-0.144,-0.147,"DEF",0.261,-0.144783
240283,"Shannon","Hurn","WCE","DEF","DEF",,15,1363,90.87,494600,"Shannon Hurn","S.Hurn",25,303,1987-09-04,35,90.4,TRUE,FALSE,FALSE,FALSE,-0.144,-0.147,"DEF",0.261,-0.144783
296254,"Jarman","Impey","HAW","DEF","DEF",,13,1181,90.85,494500,"Jarman Impey","J.Impey",4,134,1995-07-09,27,90.3,TRUE,FALSE,FALSE,FALSE,-0.152,-0.16,"DEF",0.261,-0.154088
991988,"Zak","Jones","STK","MID","MID",,13,1203,92.54,503700,"Zak Jones","Z.Jones",3,118,1995-03-15,27,92,FALSE,TRUE,FALSE,FALSE,-0.01,-0.422,"MID",0.391,-0.171092
280965,"Steele","Sidebottom","COL","MID FWD","MID","FWD",21,1834,87.33,475400,"Steele Sidebottom","S.Sidebottom",22,263,1991-01-02,31,86.8,FALSE,FALSE,FALSE,TRUE,-0.447,0.594,"FWD",0.261,-0.175299
281085,"Steven","May","MEL","DEF","DEF",,20,1809,90.45,492300,"Steven May","S.May",1,172,1992-01-10,30,89.9,TRUE,FALSE,FALSE,FALSE,-0.186,-0.213,"DEF",0.261,-0.193047
294429,"Luke","Dunstan","MEL","MID","MID",,12,1106,92.17,501700,"Luke Dunstan","L.Dunstan",7,116,1995-01-29,27,91.7,FALSE,TRUE,FALSE,FALSE,-0.035,-0.446,"MID",0.391,-0.195701
291327,"Jonathon","Ceglar","GEE","RUC","RUC",,12,1084,90.33,491700,"Jonathon Ceglar","J.Ceglar",18,101,1991-02-14,31,89.8,FALSE,FALSE,TRUE,FALSE,-0.194,-0.795,"RUC",0.087,-0.246287
298288,"Darcy","Moore","COL","DEF","DEF",,13,1166,89.69,488200,"Darcy Moore","D.Moore",30,102,1996-01-25,26,89.2,TRUE,FALSE,FALSE,FALSE,-0.245,-0.307,"DEF",0.261,-0.261182
281373,"Jack","Redden","WCE","MID","MID",,18,1644,91.33,497100,"Jack Redden","J.Redden",8,244,1990-12-09,32,90.8,FALSE,TRUE,FALSE,FALSE,-0.11,-0.516,"MID",0.391,-0.268746
280506,"Taylor","Walker","ADE","FWD","FWD",,17,1466,86.24,469400,"Taylor Walker","T.Walker",13,220,1990-04-25,32,85.8,FALSE,FALSE,FALSE,TRUE,-0.531,0.456,"FWD",0.261,-0.273393
290801,"Andrew","Gaff","WCE","MID","MID",,21,1916,91.24,496600,"Andrew Gaff","A.Gaff",3,238,1992-06-16,30,90.7,FALSE,TRUE,FALSE,FALSE,-0.119,-0.524,"MID",0.391,-0.277355
291533,"Tom","McDonald","MEL","FWD","FWD",,20,1718,85.9,467600,"Tom McDonald","T.McDonald",25,194,1992-09-18,30,85.4,FALSE,FALSE,FALSE,TRUE,-0.564,0.4,"FWD",0.261,-0.312396
260257,"Scott","Pendlebury","COL","MID","MID",,18,1628,90.44,492300,"Scott Pendlebury","S.Pendlebury",10,333,1988-01-07,34,89.9,FALSE,TRUE,FALSE,FALSE,-0.186,-0.587,"MID",0.391,-0.342791
294199,"Sam","Menegola","GEE","MID","MID",,20,1806,90.3,491500,"Sam Menegola","S.Menegola",27,111,1992-03-07,30,89.8,FALSE,TRUE,FALSE,FALSE,-0.194,-0.595,"MID",0.391,-0.350791
294307,"Brad","Crouch","STK","MID","MID",,20,1806,90.3,491500,"Brad Crouch","B.Crouch",5,115,1994-01-14,28,89.8,FALSE,TRUE,FALSE,FALSE,-0.194,-0.595,"MID",0.391,-0.350791
1002239,"Adam","Cerra","CAR","MID","MID",,18,1621,90.06,490200,"Adam Cerra","A.Cerra",5,76,1999-10-07,23,89.6,FALSE,TRUE,FALSE,FALSE,-0.211,-0.61,"MID",0.391,-0.367009
290832,"David","Swallow","GCS","MID","MID",,21,1890,90,489900,"David Swallow","D.Swallow",24,175,1992-11-19,30,89.5,FALSE,TRUE,FALSE,FALSE,-0.22,-0.618,"MID",0.391,-0.375618
294859,"Jeremy","McGovern","WCE","DEF","DEF",,15,1328,88.53,481900,"Jeremy McGovern","J.McGovern",20,155,1992-04-15,30,88,TRUE,FALSE,FALSE,FALSE,-0.346,-0.467,"DEF",0.261,-0.377581
994185,"Jordan","De Goey","COL","MID FWD","MID","FWD",20,1703,85.15,463500,"Jordan De Goey","J.De Goey",2,118,1996-03-15,26,84.7,FALSE,FALSE,FALSE,TRUE,-0.623,0.303,"FWD",0.261,-0.381314
280317,"Rhys","Stanley","GEE","RUC","RUC",,16,1414,88.38,481000,"Rhys Stanley","R.Stanley",1,165,1990-12-01,32,87.9,FALSE,FALSE,TRUE,FALSE,-0.354,-0.959,"RUC",0.087,-0.406635
240399,"Lance","Franklin","SYD","FWD","FWD",,17,1443,84.88,462000,"Lance Franklin","L.Franklin",23,317,1987-01-30,35,84.4,FALSE,FALSE,FALSE,TRUE,-0.648,0.262,"FWD",0.261,-0.41049
293713,"Brandon","Ellis","GCS","MID","MID",,18,1611,89.5,487200,"Brandon Ellis","B.Ellis",4,210,1993-08-03,29,89,FALSE,TRUE,FALSE,FALSE,-0.262,-0.657,"MID",0.391,-0.416445
294877,"Isaac","Smith","GEE","MID","MID",,21,1877,89.38,486500,"Isaac Smith","I.Smith",7,234,1988-12-30,34,88.9,FALSE,TRUE,FALSE,FALSE,-0.27,-0.665,"MID",0.391,-0.424445
292511,"Zach","Tuohy","GEE","DEF MID","DEF","MID",19,1669,87.84,478100,"Zach Tuohy","Z.Tuohy",2,228,1989-12-10,33,87.3,TRUE,FALSE,FALSE,FALSE,-0.405,-0.56,"DEF",0.261,-0.445455
1002312,"Zac","Bailey","BRL","FWD MID","FWD","MID",22,1859,84.5,459900,"Zac Bailey","Z.Bailey",33,73,1999-09-23,23,84,FALSE,FALSE,FALSE,TRUE,-0.682,0.206,"FWD",0.261,-0.450232
297907,"Nic","Newman","CAR","DEF","DEF",,14,1227,87.64,477100,"Nic Newman","N.Newman",24,67,1993-01-15,29,87.2,TRUE,FALSE,FALSE,FALSE,-0.413,-0.573,"DEF",0.261,-0.45476
1005729,"Tarryn","Thomas","NTH","MID FWD","MID","FWD",21,1772,84.38,459300,"Tarryn Thomas","T.Thomas",26,47,2000-03-25,22,83.9,FALSE,FALSE,FALSE,TRUE,-0.69,0.193,"FWD",0.261,-0.459537
294469,"Aliir","Aliir","PTA","DEF","DEF",,22,1928,87.64,477000,"Aliir Aliir","A.Aliir",21,88,1994-09-05,28,87.1,TRUE,FALSE,FALSE,FALSE,-0.421,-0.587,"DEF",0.261,-0.464326
993993,"Shai","Bolton","RIC","FWD MID","FWD","MID",20,1685,84.25,458600,"Shai Bolton","S.Bolton",29,69,1998-12-08,24,83.8,FALSE,FALSE,FALSE,TRUE,-0.699,0.179,"FWD",0.261,-0.469842
1005247,"Sam","Taylor","GWS","DEF","DEF",,17,1486,87.41,475800,"Sam Taylor","S.Taylor",15,55,1999-05-05,23,86.9,TRUE,FALSE,FALSE,FALSE,-0.438,-0.613,"DEF",0.261,-0.483675
297401,"Matt","Crouch","ADE","MID","MID",,0,0,0,482000,"Matt Crouch","M.Crouch",5,125,1995-04-21,27,88.1,FALSE,TRUE,FALSE,FALSE,-0.337,-0.727,"MID",0.391,-0.48949
990827,"Jack","Graham","RIC","MID FWD","MID","FWD",22,1849,84.05,457500,"Jack Graham","J.Graham",34,79,1998-02-25,24,83.6,FALSE,FALSE,FALSE,TRUE,-0.716,0.151,"FWD",0.261,-0.489713
294557,"Lachie","Hunter","WBD","MID","MID",,21,1851,88.14,479800,"Lachie Hunter","L.Hunter",7,164,1994-12-13,28,87.7,FALSE,TRUE,FALSE,FALSE,-0.371,-0.759,"MID",0.391,-0.522708
993902,"Matt","Flynn","GWS","RUC","RUC",,12,1044,87,473600,"Matt Flynn","M.Flynn",30,12,1997-09-13,25,86.5,FALSE,FALSE,TRUE,FALSE,-0.472,-1.081,"RUC",0.087,-0.524983
